serial_number,part_number,lot_number,work_order,produced_at,shift
SN-2026-0001,ABC-123,LOT-2026-001,WO-50001,2026-07-06 08:00:00,SHIFT_1
SN-2026-0002,ABC-123,LOT-2026-001,WO-50001,2026-07-06 08:01:15,SHIFT_1
SN-2026-0003,ABC-123,LOT-2026-001,WO-50001,2026-07-06 08:02:30,SHIFT_1
SN-2026-0004,XYZ-456,LOT-2026-002,WO-50002,2026-07-06 08:15:00,SHIFT_1
SN-2026-0005,XYZ-456,LOT-2026-002,WO-50002,2026-07-06 08:16:00,SHIFT_1
SN-2026-0006,NEW-PART-789,LOT-2026-003,WO-50003,2026-07-06 09:00:00,SHIFT_1
SN-2026-0007,NEW-PART-789,LOT-2026-003,WO-50003,2026-07-06 09:01:00,SHIFT_1
SN-2026-0008,ABC-123,LOT-2026-001,WO-50001,2026-07-06 14:00:00,SHIFT_2
SN-2026-0009,ABC-123,LOT-2026-001,WO-50001,2026-07-06 14:05:00,SHIFT_2
SN-2026-0010,TRIAL-PART-001,,WO-TRIAL-01,2026-07-06 15:00:00,SHIFT_2
