serial_number,part_number,lot_number,work_order,produced_at
TF96-20260727-0001,TF-GEN-001,LOT-2026-100,WO-2026-1000,2026-07-27T22:41:00.000Z
TF96-20260726-0002,TF-GEN-001,LOT-2026-100,WO-2026-1000,2026-07-26T12:08:00.000Z
TF96-20260726-0003,TF-GEN-001,LOT-2026-100,WO-2026-1000,2026-07-26T18:49:00.000Z
TF96-20260727-0004,TF-GEN-001,LOT-2026-100,WO-2026-1000,2026-07-27T18:46:00.000Z
TF96-20260728-0005,TF-GEN-001,LOT-2026-100,WO-2026-1000,2026-07-28T02:25:00.000Z
TF96-20260726-0006,TF-GEN-001,LOT-2026-100,WO-2026-1000,2026-07-26T00:30:00.000Z
TF96-20260725-0007,TF-GEN-001,LOT-2026-100,WO-2026-1000,2026-07-25T21:46:00.000Z
TF96-20260726-0008,TF-GEN-001,LOT-2026-100,WO-2026-1000,2026-07-26T20:52:00.000Z
TF96-20260728-0009,TF-GEN-001,LOT-2026-100,WO-2026-1000,2026-07-28T14:00:00.000Z
TF96-20260726-0010,TF-GEN-001,LOT-2026-100,WO-2026-1000,2026-07-26T03:04:00.000Z
TF96-20260724-0011,TF-GEN-001,LOT-2026-100,WO-2026-1000,2026-07-24T23:59:00.000Z
TF96-20260727-0012,TF-GEN-001,LOT-2026-100,WO-2026-1000,2026-07-27T01:09:00.000Z
TF96-20260724-0013,TF-GEN-001,LOT-2026-100,WO-2026-1000,2026-07-24T00:23:00.000Z
TF96-20260724-0014,TF-GEN-001,LOT-2026-100,WO-2026-1000,2026-07-24T16:50:00.000Z
TF96-20260727-0015,TF-GEN-001,LOT-2026-100,WO-2026-1000,2026-07-27T03:05:00.000Z
TF96-20260722-0016,TF-GEN-001,LOT-2026-100,WO-2026-1000,2026-07-22T14:56:00.000Z
TF96-20260724-0017,TF-GEN-001,LOT-2026-100,WO-2026-1000,2026-07-24T16:00:00.000Z
TF96-20260728-0018,TF-GEN-001,LOT-2026-100,WO-2026-1000,2026-07-28T15:30:00.000Z
TF96-20260723-0019,TF-GEN-001,LOT-2026-100,WO-2026-1000,2026-07-23T17:58:00.000Z
TF96-20260722-0020,TF-GEN-001,LOT-2026-100,WO-2026-1000,2026-07-22T14:41:00.000Z
TF96-20260725-0021,TF-GEN-001,LOT-2026-100,WO-2026-1000,2026-07-25T19:22:00.000Z
TF96-20260724-0022,TF-GEN-001,LOT-2026-100,WO-2026-1000,2026-07-24T21:30:00.000Z
TF96-20260727-0023,TF-GEN-001,LOT-2026-100,WO-2026-1000,2026-07-27T23:59:00.000Z
TF96-20260722-0024,TF-GEN-001,LOT-2026-100,WO-2026-1000,2026-07-22T20:46:00.000Z
TF96-20260728-0025,TF-GEN-001,LOT-2026-100,WO-2026-1001,2026-07-28T12:05:00.000Z
TF96-20260727-0026,TF-GEN-001,LOT-2026-100,WO-2026-1001,2026-07-27T23:40:00.000Z
TF96-20260727-0027,TF-GEN-001,LOT-2026-100,WO-2026-1001,2026-07-27T19:49:00.000Z
TF96-20260727-0028,TF-GEN-001,LOT-2026-100,WO-2026-1001,2026-07-27T14:57:00.000Z
TF96-20260725-0029,TF-GEN-001,LOT-2026-100,WO-2026-1001,2026-07-25T03:12:00.000Z
TF96-20260727-0030,TF-GEN-001,LOT-2026-100,WO-2026-1001,2026-07-27T22:55:00.000Z
TF96-20260723-0031,TF-GEN-001,LOT-2026-100,WO-2026-1001,2026-07-23T13:36:00.000Z
TF96-20260725-0032,TF-GEN-001,LOT-2026-100,WO-2026-1001,2026-07-25T17:19:00.000Z
TF96-20260724-0033,TF-GEN-001,LOT-2026-100,WO-2026-1001,2026-07-24T13:48:00.000Z
TF96-20260723-0034,TF-GEN-001,LOT-2026-100,WO-2026-1001,2026-07-23T21:12:00.000Z
TF96-20260722-0035,TF-GEN-001,LOT-2026-100,WO-2026-1001,2026-07-22T12:55:00.000Z
TF96-20260726-0036,TF-GEN-001,LOT-2026-100,WO-2026-1001,2026-07-26T18:40:00.000Z
TF96-20260729-0037,TF-GEN-001,LOT-2026-100,WO-2026-1001,2026-07-29T02:53:00.000Z
TF96-20260722-0038,TF-GEN-001,LOT-2026-100,WO-2026-1001,2026-07-22T21:57:00.000Z
TF96-20260722-0039,TF-GEN-001,LOT-2026-100,WO-2026-1001,2026-07-22T13:36:00.000Z
TF96-20260728-0040,TF-GEN-001,LOT-2026-100,WO-2026-1001,2026-07-28T20:28:00.000Z
TF96-20260724-0041,TF-GEN-001,LOT-2026-100,WO-2026-1001,2026-07-24T13:06:00.000Z
TF96-20260723-0042,TF-GEN-001,LOT-2026-100,WO-2026-1001,2026-07-23T16:47:00.000Z
TF96-20260723-0043,TF-GEN-001,LOT-2026-100,WO-2026-1001,2026-07-23T20:25:00.000Z
TF96-20260726-0044,TF-GEN-001,LOT-2026-100,WO-2026-1001,2026-07-26T01:56:00.000Z
TF96-20260728-0045,TF-GEN-001,LOT-2026-100,WO-2026-1001,2026-07-28T18:39:00.000Z
TF96-20260722-0046,TF-GEN-001,LOT-2026-100,WO-2026-1001,2026-07-22T21:58:00.000Z
TF96-20260727-0047,TF-GEN-001,LOT-2026-100,WO-2026-1001,2026-07-27T03:34:00.000Z
TF96-20260726-0048,TF-GEN-001,LOT-2026-100,WO-2026-1001,2026-07-26T02:38:00.000Z
TF96-20260728-0049,TF-GEN-001,LOT-2026-100,WO-2026-1001,2026-07-28T01:53:00.000Z
TF96-20260728-0050,TF-GEN-001,LOT-2026-101,WO-2026-1002,2026-07-28T18:23:00.000Z
TF96-20260726-0051,TF-GEN-001,LOT-2026-101,WO-2026-1002,2026-07-26T02:41:00.000Z
TF96-20260722-0052,TF-GEN-001,LOT-2026-101,WO-2026-1002,2026-07-22T12:02:00.000Z
TF96-20260725-0053,TF-GEN-001,LOT-2026-101,WO-2026-1002,2026-07-25T02:33:00.000Z
TF96-20260726-0054,TF-GEN-001,LOT-2026-101,WO-2026-1002,2026-07-26T16:34:00.000Z
TF96-20260725-0055,TF-GEN-001,LOT-2026-101,WO-2026-1002,2026-07-25T19:11:00.000Z
TF96-20260728-0056,TF-GEN-001,LOT-2026-101,WO-2026-1002,2026-07-28T02:47:00.000Z
TF96-20260725-0057,TF-GEN-001,LOT-2026-101,WO-2026-1002,2026-07-25T22:17:00.000Z
TF96-20260725-0058,TF-GEN-001,LOT-2026-101,WO-2026-1002,2026-07-25T00:16:00.000Z
TF96-20260722-0059,TF-GEN-001,LOT-2026-101,WO-2026-1002,2026-07-22T17:25:00.000Z
TF96-20260727-0060,TF-GEN-001,LOT-2026-101,WO-2026-1002,2026-07-27T23:59:00.000Z
TF96-20260723-0061,TF-GEN-001,LOT-2026-101,WO-2026-1002,2026-07-23T15:13:00.000Z
TF96-20260725-0062,TF-GEN-001,LOT-2026-101,WO-2026-1002,2026-07-25T23:04:00.000Z
TF96-20260724-0063,TF-GEN-001,LOT-2026-101,WO-2026-1002,2026-07-24T01:19:00.000Z
TF96-20260726-0064,TF-GEN-001,LOT-2026-101,WO-2026-1002,2026-07-26T12:46:00.000Z
TF96-20260722-0065,TF-GEN-001,LOT-2026-101,WO-2026-1002,2026-07-22T22:08:00.000Z
TF96-20260726-0066,TF-GEN-001,LOT-2026-101,WO-2026-1002,2026-07-26T20:07:00.000Z
TF96-20260728-0067,TF-GEN-001,LOT-2026-101,WO-2026-1002,2026-07-28T00:12:00.000Z
